,id,content,content_clean,content_no_stopwords
79,UgwdCRYxkemVfNJk7il4AaABAg,"Absolutely gorgeous, the team outdid themselves! 🤟🏼🔥",Absolutely gorgeous the team outdid themselves 🤟🏼🔥,Absolutely gorgeous team outdid 🤟🏼🔥
80,UgzwNJDFRxZGGmaZtIZ4AaABAg,"Imagine Ettore Buggatti being alive, and to see his company's legacy still being as prestiene as it used to be. How proud he'd really be....",Imagine Ettore Buggatti being alive and to see his companys legacy still being as prestiene as it used to be How proud hed really be,Imagine Ettore Buggatti alive see companys legacy still prestiene used How proud hed really
81,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cX1kn7r4Sg,Why is bg music name?!,Why is bg music name,Why bg music name
82,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWXGqqzrLX,Pointless development,Pointless development,Pointless development
83,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWJmZbfaKL,For his name to be pasted on a VW product?,For his name to be pasted on a VW product,For name pasted VW product
84,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cW27OjVjig,"@JUICY__ PLANE It's what the internet is for, right? /s", PLANE Its what the internet is for right s,PLANE Its internet right
85,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg0Stsrz4,Same with steve jobs with his apple,Same with steve jobs with his apple,Same steve jobs apple
86,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg-M38zTU,I'm sure of it he would not like it,Im sure of it he would not like it,Im sure would like
87,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVRHL_jUzD,Thanks to VW,Thanks to VW,Thanks VW
88,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVR4hMHAEl,@Jackal of Hadouken! soy, of Hadouken soy,Hadouken soy
89,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVQylUGANk,Thanks to VW,Thanks to VW,Thanks VW
90,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVPI0CTMdb,Ettore would ask for a cheque.,Ettore would ask for a cheque,Ettore would ask cheque
91,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVG7wnR9dY,well i dont he might be happy about the company loses millions per car,well i dont he might be happy about the company loses millions per car,well dont might happy company loses millions per car
92,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVFI66jNSu,"@Obama Lore Not really, the modern company can be traced more directly to the VW Company that formed after WW2 with the consent of the British occupation forces. 

They began work in a former factory that was used by the Nazis, yes, but the company itself was essentially brand new. The name, despite what people think, isn't a reflection of Nazism either. Hitler named the car ""KDF-Wagen"" or ""Strenght Through Joy Car"". The VW factory, wanting to distance itself from the Nazis (at this point under control of the British occupation forces) renamed the factory to ""Volks Wagen"" and began production of the formerly prototype KDF Wagen, which would become known as the VW Type 1, or Beetle."," Lore Not really the modern company can be traced more directly to the VW Company that formed after WW2 with the consent of the British occupation forces 

They began work in a former factory that was used by the Nazis yes but the company itself was essentially brand new The name despite what people think isnt a reflection of Nazism either Hitler named the car KDFWagen or Strenght Through Joy Car The VW factory wanting to distance itself from the Nazis at this point under control of the British occupation forces renamed the factory to Volks Wagen and began production of the formerly prototype KDF Wagen which would become known as the VW Type 1 or Beetle",Lore Not really modern company traced directly VW Company formed WW2 consent British occupation forces They began work former factory used Nazis yes company essentially brand new The name despite people think isnt reflection Nazism either Hitler named car KDFWagen Strenght Through Joy Car The VW factory wanting distance Nazis point control British occupation forces renamed factory Volks Wagen began production formerly prototype KDF Wagen would become known VW Type 1 Beetle
93,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUasM7eigY,You're words get mr goosebumps bro,Youre words get mr goosebumps bro,Youre words get mr goosebumps bro
94,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUY5GGAnKB,"He would be fucking disappointed.
Bugatti used to won races, be the best at competitions. Now the cars barely drive if they even leave their garage.
He would be sincerely ashamed","He would be fucking disappointed
Bugatti used to won races be the best at competitions Now the cars barely drive if they even leave their garage
He would be sincerely ashamed",He would fucking disappointed Bugatti used races best competitions Now cars barely drive even leave garage He would sincerely ashamed
95,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUSkIJMcr0,Yeah he will,Yeah he will,Yeah
96,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cU1wtijyKC,Doesn't matter i can't afford it..,Doesnt matter i cant afford it,Doesnt matter cant afford
97,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTgIMnn95i,@Jackal of Hadouken! and a majority of weapons designed after 1945 were heavily influenced by Nazi weapons. Do something about it, of Hadouken and a majority of weapons designed after 1945 were heavily influenced by Nazi weapons Do something about it,Hadouken majority weapons designed 1945 heavily influenced Nazi weapons Do something
98,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTWZLnRGRE,especially bugatti being a german car now,especially bugatti being a german car now,especially bugatti german car
